Title,URL,Author,Price
[Sponsored]Learning RSLogix 5000 Programming: Building PLC solutions with Rockwell Automation and RSLogix 5000,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A00869842CGVT6MLKVS3N&url=https%3A%2F%2Fwww.amazon.com%2FLearning-RSLogix-5000-Programming-Automation%2Fdp%2F1784396036%2Fref%3Dsr_1_1_sspa%3Fie%3DUTF8%26qid%3D1534925537%26sr%3D8-1-spons%26keywords%3Dautomation%2Bbooks%26psc%3D1&qualifier=1534925537&id=8819014511172027&widgetName=sp_atf,by Austin Scott,"$ 39 99 "
Rise of the Robots: Technology and the Threat of a Jobless Future,https://www.amazon.com/Rise-Robots-Technology-Threat-Jobless/dp/0465097537/ref=sr_1_2?ie=UTF8&qid=1534925537&sr=8-2&keywords=automation+books,"Rise of the Robots: Technology and the Threat of a Jobless FutureJul 12, 2016","$ 11 55 "
Building Automation Systems A To Z: How To Survive In A World Full Of Bas,https://www.amazon.com/Building-Automation-Systems-Survive-World/dp/1539914488/ref=sr_1_3?ie=UTF8&qid=1534925537&sr=8-3&keywords=automation+books,"Building Automation Systems A To Z: How To Survive In A World Full Of BasDec 1, 2016","$ 125 84 "
Automate the Boring Stuff with Python: Practical Programming for Total Beginners,https://www.amazon.com/Automate-Boring-Stuff-Python-Programming/dp/1593275994/ref=sr_1_4?ie=UTF8&qid=1534925537&sr=8-4&keywords=automation+books,"Automate the Boring Stuff with Python: Practical Programming for Total BeginnersApr 14, 2015","$ 23 96 "
Learning Chef: A Guide to Configuration Management and Automation,https://www.amazon.com/Learning-Chef-Configuration-Management-Automation/dp/1491944935/ref=sr_1_5?ie=UTF8&qid=1534925537&sr=8-5&keywords=automation+books,"Learning Chef: A Guide to Configuration Management and AutomationNov 23, 2014","$ 39 83 "
Jobless Future: Sci-Tech and the Dogma of Work,https://www.amazon.com/Jobless-Future-Sci-Tech-Dogma-Work/dp/0816621942/ref=sr_1_6?ie=UTF8&qid=1534925537&sr=8-6&keywords=automation+books,"Jobless Future: Sci-Tech and the Dogma of WorkJun 22, 1995","$ 26 00 "
"Robotic Process Automation: Guide To Building Software Robots, Automate Repetitive Tasks & Become An RPA Consultant",https://www.amazon.com/Robotic-Process-Automation-Repetitive-Consultant/dp/1983036838/ref=sr_1_7?ie=UTF8&qid=1534925537&sr=8-7&keywords=automation+books,by Richard Murdoch,"$ 5 58 "
"The Future of Leadership: Rise of Automation, Robotics and Artificial Intelligence",https://www.amazon.com/Future-Leadership-Automation-Artificial-Intelligence/dp/9769609218/ref=sr_1_8?ie=UTF8&qid=1534925537&sr=8-8&keywords=automation+books,"The Future of Leadership: Rise of Automation, Robotics and Artificial IntelligenceOct 6, 2017",
The Rise Of The Robots,https://www.amazon.com/Rise-Robots-Paxton-Collins/dp/B01ABDA2VC/ref=sr_1_9?ie=UTF8&qid=1534925537&sr=8-9&keywords=automation+books,"The Rise Of The Robots2016

NR


CC",
[Sponsored]Life 3.0: Being Human in the Age of Artificial Intelligence,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A09209462DBA7NMUVWI72&url=https%3A%2F%2Fwww.amazon.com%2FLife-3-0-Being-Artificial-Intelligence%2Fdp%2F1101970316%2Fref%3Dsr_1_10_sspa%3Fie%3DUTF8%26qid%3D1534925537%26sr%3D8-10-spons%26keywords%3Dautomation%2Bbooks%26psc%3D1&qualifier=1534925537&id=8819014511172027&widgetName=sp_mtf,"[Sponsored]Life 3.0: Being Human in the Age of Artificial IntelligenceJul 31, 2018","$ 13 60 "
[Sponsored]Home Attitude: Everything You Need To Know To Make Your Home Smart,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_2?ie=UTF8&adId=A0170072VJ6VZOF0SPQU&url=https%3A%2F%2Fwww.amazon.com%2FHome-Attitude-Everything-Need-Smart-ebook%2Fdp%2FB0784D4LBK%2Fref%3Dsr_1_11_sspa%3Fie%3DUTF8%26qid%3D1534925537%26sr%3D8-11-spons%26keywords%3Dautomation%2Bbooks%26psc%3D1&qualifier=1534925537&id=8819014511172027&widgetName=sp_mtf,"[Sponsored]Home Attitude: Everything You Need To Know To Make Your Home SmartNov 22, 2017","$ 4 49 "
AWS Automation Cookbook: Continuous Integration and Continuous Deployment using AWS services,https://www.amazon.com/AWS-Automation-Cookbook-Continuous-Integration/dp/1788394925/ref=sr_1_12?ie=UTF8&qid=1534925537&sr=8-12&keywords=automation+books,by Nikit Swaraj,"$ 39 99 "
"Python Crash Course: A Hands-On, Project-Based Introduction to Programming",https://www.amazon.com/Python-Crash-Course-Hands-Project-Based/dp/1593276036/ref=sr_1_13?ie=UTF8&qid=1534925537&sr=8-13&keywords=automation+books,"Python Crash Course: A Hands-On, Project-Based Introduction to ProgrammingNov 1, 2015","$ 27 16 "
Stop Coding: Learn to test automate without coding and get that automation testing job,https://www.amazon.com/Stop-Coding-automate-without-automation-ebook/dp/B07B74V474/ref=sr_1_14?ie=UTF8&qid=1534925537&sr=8-14&keywords=automation+books,"Stop Coding: Learn to test automate without coding and get that automation testing jobMar 3, 2018","$ 0 00 "
Home Attitude: Everything You Need To Know To Make Your Home Smart,https://www.amazon.com/Home-Attitude-Everything-Need-Smart/dp/1542710197/ref=sr_1_15?ie=UTF8&qid=1534925537&sr=8-15&keywords=automation+books,"Home Attitude: Everything You Need To Know To Make Your Home SmartNov 14, 2017","$ 14 99 "
Learning Robotic Process Automation: Create Software robots and automate business processes with the leading RPA tool – UiPath,https://www.amazon.com/Learning-Robotic-Process-Automation-processes/dp/178847094X/ref=sr_1_16?ie=UTF8&qid=1534925537&sr=8-16&keywords=automation+books,by Alok Mani Tripathi,"$ 49 99 "
"Best-Selling House Plans, Completely Updated & Revised 3rd Edition (Creative Homeowner) 375 Dream-Home Plans in Full Color; Special Sections on Home Automation, Home Design Trends, Curb Appeal, More",https://www.amazon.com/Best-Selling-Completely-Homeowner-Dream-Home-Automation/dp/1580117619/ref=sr_1_17?ie=UTF8&qid=1534925537&sr=8-17&keywords=automation+books,by Creative Homeowner,"$ 8 19 "
Martin Ford's Rise of the Robots: Technology and the Threat of a Jobless Future Summary,https://www.amazon.com/Martin-Fords-Rise-Robots-Technology/dp/B01H7I92MO/ref=sr_1_18?ie=UTF8&qid=1534925537&sr=8-18&keywords=automation+books,"Martin Ford's Rise of the Robots: Technology and the Threat of a Jobless Future SummaryJun 20, 2016 | Unabridged",
Network Programmability and Automation: Skills for the Next-Generation Network Engineer,https://www.amazon.com/Network-Programmability-Automation-Next-Generation-Engineer/dp/1491931256/ref=sr_1_19?ie=UTF8&qid=1534925537&sr=8-19&keywords=automation+books,"Network Programmability and Automation: Skills for the Next-Generation Network EngineerMar 4, 2018","$ 31 70 "
